key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
HeI-2946,He I,2945.965,19.819614525,24.028225064,3200600.0,0.0069405,3-5,1s2s-1s5p,3S-3P*,1-2,E1,2945.1040943597377,permitted,0.0208215,4,1.0,3S,NIST,--
[FeII]-3004,[Fe II],3004.047,0.35186476,4.47910423,0.0115,1.04e-11,6-4,3d7-3d6(3D)4s,a4F-b2D,5/2-3/2,M1+E2,3003.1711711519856,forbidden,6.24e-11,40,0.676649241245813,a4F-b2D,NIST,--
[FeII]-3029,[Fe II],3029.484,0.38651921,4.47910423,0.014,1.9e-11,4-4,3d7-3d6(3D)4s,a4F-b2D,3/2-3/2,M1+E2,3028.6019564372996,forbidden,7.6e-11,40,1.0,a4F-b2D,NIST,--
OIII-3134,O III,3133.702,36.892572,40.849049,137000000.0,0.336,3-5,2s22p(2P*)3p-2s22p(2P*)3d,3S-3P*,1-2,E1,3132.7940686504876,permitted,1.008,0,1.0,3S,NIST,--
[FeII]-3176,[Fe II],3176.297,0.0,3.90341906,0.232,2.81e-10,10-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,9/2-7/2,M1,3175.378743089073,forbidden,2.81e-09,17,1.0,a6D-b4D,NIST,--
HeI-3189,He I,3188.667,19.819614525,23.7078912279,5636100.0,0.014319,3-5,1s2s-1s4p,3S-3P*,1-2,E1,3187.7452702573264,permitted,0.042957,4,1.0,3S,NIST,--
HeII-3204,He II,3204.091,48.371583992058,52.2411437612,72724000.0,0.14924,6-8,3d-5f,2D-2F*,5/2-7/2,E1,3203.1648500283713,permitted,0.89544,1,1.0,2D,NIST,--
[FeII]-3216,[Fe II],3215.598,0.04770753,3.90341906,0.079,1.23e-10,8-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,7/2-7/2,M1,3214.6698109863128,forbidden,9.84e-10,17,0.31664285873387044,a6D-b4D,NIST,--
[FeII]-3225,[Fe II],3225.474,0.04770753,3.89161339,0.035,4.1e-11,8-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,7/2-5/2,M1,3224.5432712544684,forbidden,3.28e-10,17,0.10370551530795188,a6D-b4D,NIST,--
[FeII]-3245,[Fe II],3245.119,0.08278213,3.90341906,0.032,6.8e-11,6-8,3d6(5D)4s-3d6(3D)4s,a6D-b4D,5/2-7/2,M1,3244.182494547091,forbidden,4.08e-10,17,0.13081057379634842,a6D-b4D,NIST,--
[FeII]-3255,[Fe II],3255.177,0.08278213,3.89161339,0.131,2.08e-10,6-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,5/2-5/2,M1,3254.238354042128,forbidden,1.248e-09,17,0.3704486371641169,a6D-b4D,NIST,--
[FeII]-3276,[Fe II],3275.964,0.10695023,3.89161339,0.062,1.49e-10,4-6,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-5/2,M1,3275.019988320317,forbidden,5.96e-10,17,0.17604688706214658,a6D-b4D,NIST,--
[FeII]-3278,[Fe II],3278.061,0.10695023,3.8891925,0.054,4.3e-11,4-2,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-1/2,M1,3277.1162957878473,forbidden,1.72e-10,17,0.02861313744499488,a6D-b4D,NIST,--
[FeII]-3278,[Fe II],3278.49,0.10695023,3.88869686,0.172,2.8e-10,4-4,3d6(5D)4s-3d6(3D)4s,a6D-b4D,3/2-3/2,M1,3277.545806669731,forbidden,1.12e-09,17,0.2389007948488956,a6D-b4D,NIST,--
[FeII]-3290,[Fe II],3290.404,0.12113874,3.8891925,0.279,4.54e-10,2-2,3d6(5D)4s-3d6(3D)4s,a6D-b4D,1/2-1/2,M1,3289.456609637605,forbidden,9.08e-10,17,0.14848229784684389,a6D-b4D,NIST,--
[FeII]-3291,[Fe II],3290.837,0.12113874,3.88869686,0.068,2.2e-10,2-4,3d6(5D)4s-3d6(3D)4s,a6D-b4D,1/2-3/2,M1,3289.889359619155,forbidden,4.4e-10,17,0.09520179103188083,a6D-b4D,NIST,--
