key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[NeIII]-3969,[Ne III],3968.59,0.0797065,3.203841,0.054,2.13e-10,3-5,2s22p4-2s22p4,3P-1D,1-2,M1,NIST,,3967.4674744940608,$[$Ne III$]$,"$[$Ne III$]\,\lambda3969$",forbidden,6.39e-10,1,0.33559362239789986
[SII]-4070,[S II],4069.746,0.0,3.046485,0.192,4.77e-10,4-4,3s23p3-3s23p3,4S*-2P*,3/2-3/2,M1,NIST,,4068.5970421398565,$[$S II$]$,"$[$S II$]\,\lambda4070$",forbidden,1.908e-09,3,0.908314166844063
[SII]-4077,[S II],4077.494,0.0,3.040696,0.0772,9.62e-11,4-2,3s23p3-3s23p3,4S*-2P*,3/2-1/2,M1,NIST,,4076.343014825619,$[$S II$]$,"$[$S II$]\,\lambda4077$",forbidden,3.848e-10,3,0.09168583315593698
[OIII]-4364,[O III],4364.436,2.513565,5.354349,1.71,9.77e-10,5-1,2s22p2-2s22p2,1D-1S,2-0,E2,NIST,,4363.209690105555,$[$O III$]$,"$[$O III$]\,\lambda4364$",forbidden,4.885e-09,0,1.0
[OIII]-4960,[O III],4960.295,0.0140323,2.513565,0.00621,3.82e-11,3-5,2s22p2-2s22p2,3P-1D,1-2,M1,NIST,,4958.91107030665,$[$O III$]$,"$[$O III$]\,\lambda4960$",forbidden,1.146e-10,1,0.3660306180708168
[OIII]-5008,[O III],5008.24,0.0379607,2.513565,0.0181,6.81e-11,5-5,2s22p2-2s22p2,3P-1D,2-2,M1,NIST,,5006.843332316028,$[$O III$]$,"$[$O III$]\,\lambda5008$",forbidden,3.405e-10,1,0.6339693819291831
[NI]-5202,[N I],5201.705,0.0,2.3835298,6.59e-06,4.01e-14,4-6,2s22p3-2s22p3,4S*-2D*,3/2-5/2,E2,NIST,,5200.256864388595,$[$N I$]$,"$[$N I$]\,\lambda5202$",forbidden,1.604e-13,0,1.0
[CaV]-5311,[Ca V],5310.59,0.0,2.33466,1.93,8.16e-09,5-5,3s23p4-3s23p4,3P-1D,2-2,M1,NIST,,5309.112852928492,$[$Ca V$]$,"$[$Ca V$]\,\lambda5311$",forbidden,4.08e-08,0,1.0
[ClIII]-5519,[Cl III],5519.242,0.0,2.246399,0.00086,5.9e-12,4-6,3s23p3-3s23p3,4S*-2D*,3/2-5/2,E2,NIST,,5517.7091791216835,$[$Cl III$]$,"$[$Cl III$]\,\lambda5519$",forbidden,2.36e-11,1,0.22805467505641286
[ClIII]-5539,[Cl III],5539.411,0.0,2.23822,0.0065,3e-11,4-4,3s23p3-3s23p3,4S*-2D*,3/2-3/2,M1,NIST,,5537.872792294552,$[$Cl III$]$,"$[$Cl III$]\,\lambda5539$",forbidden,1.2e-10,1,0.771945324943587
[OI]-5579,[O I],5578.887,1.9673642,4.1897463,1.26,1.18e-09,5-1,2s22p4-2s22p4,1D-1S,2-0,E2,NIST,,5577.338246351693,$[$O I$]$,"$[$O I$]\,\lambda5579$",forbidden,5.9e-09,0,1.0
[NII]-5756,[N II],5756.19,1.89897,4.05289,1.14,1.13e-09,5-1,2s22p2-2s22p2,1D-1S,2-0,E2,NIST,,5754.593840990829,$[$N II$]$,"$[$N II$]\,\lambda5756$",forbidden,5.65e-09,0,1.0
[OI]-6302,[O I],6302.046,0.0,1.9673642,0.00563,3.35e-11,5-5,2s22p4-2s22p4,3P-1D,2-2,M1,NIST,,6300.303547021929,$[$O I$]$,"$[$O I$]\,\lambda6302$",forbidden,1.675e-10,1,0.6523232524865239
[SIII]-6314,[S III],6313.81,1.40384,3.36753,2.08,2.49e-09,5-1,3s23p2-3s23p2,1D-1S,2-0,E2,NIST,,6312.064389113244,$[$S III$]$,"$[$S III$]\,\lambda6314$",forbidden,1.2449999999999999e-08,0,1.0
[OI]-6366,[O I],6365.536,0.0196224,1.9673642,0.00182,1.84e-11,3-5,2s22p4-2s22p4,3P-1D,1-2,M1,NIST,,6363.776501603721,$[$O I$]$,"$[$O I$]\,\lambda6366$",forbidden,5.52e-11,1,0.3476767475134762
[NII]-6550,[N II],6549.86,0.00604,1.89897,0.000984,1.05e-11,3-5,2s22p2-2s22p2,3P-1D,1-2,M1,NIST,,6548.05098508419,$[$N II$]$,"$[$N II$]\,\lambda6550$",forbidden,3.1499999999999995e-11,1,0.3608650210744071
[NII]-6585,[N II],6585.27,0.01622,1.89897,0.00291,1.89e-11,5-5,2s22p2-2s22p2,3P-1D,2-2,M1,NIST,,6583.451467674058,$[$N II$]$,"$[$N II$]\,\lambda6585$",forbidden,9.450000000000001e-11,1,0.639134978925593
[SII]-6718,[S II],6718.285,0.0,1.845474,0.000188,1.91e-12,4-6,3s23p3-3s23p3,4S*-2D*,3/2-5/2,E2,NIST,,6716.430702873829,$[$S II$]$,"$[$S II$]\,\lambda6718$",forbidden,7.64e-12,2,0.4283816453002191
[SII]-6733,[S II],6732.656,0.0,1.841535,0.000563,3.83e-12,4-4,3s23p3-3s23p3,4S*-2D*,3/2-3/2,M1,NIST,,6730.797837602296,$[$S II$]$,"$[$S II$]\,\lambda6733$",forbidden,1.532e-11,2,0.5716183546997808
[OII]-7322,[O II],7322.01,3.324085,5.017394,0.0907,4.86e-10,6-4,2s22p3-2s22p3,2D*-2P*,5/2-3/2,E2,NIST,,7319.99313918702,$[$O II$]$,"$[$O II$]\,\lambda7322$",forbidden,2.916e-09,1,0.6115978135502548
[OII]-7333,[O II],7332.75,3.326567,5.017394,0.0385,3.1e-10,4-4,2s22p3-2s22p3,2D*-2P*,3/2-3/2,E2,NIST,,7330.730244140238,$[$O II$]$,"$[$O II$]\,\lambda7333$",forbidden,1.24e-09,1,0.3884021864497452
[NiII]-7380,[Ni II],7379.86,0.0,1.680034,0.23,2.5e-09,6-8,3p63d9-3p63d8(3F)4s,2D-2F,5/2-7/2,E2,NIST,,7377.827544128079,$[$Ni II$]$,"$[$Ni II$]\,\lambda7380$",forbidden,1.5000000000000002e-08,0,1.0
[SXII]-7613,[S XII],7613.1,0.0,1.62857,20.3,3.53e-07,2-4,2s22p-2s22p,2P*-2P*,1/2-3/2,M1,NIST,,7611.004640062711,$[$S XII$]$,"$[$S XII$]\,\lambda7613$",forbidden,7.06e-07,0,1.0
[NiIII]-7892,[Ni III],7892.1,0.16871,1.7397,0.48,3.2e-09,7-5,3p63d8-3p63d8,3F-1D,3-2,M1,NIST,,7889.929340625063,$[$Ni III$]$,"$[$Ni III$]\,\lambda7892$",forbidden,2.2400000000000002e-08,0,1.0
[ClII]-8581,[Cl II],8581.05,0.0,1.44486,0.103,1.14e-09,5-5,3s23p4-3s23p4,3P-1D,2-2,M1,NIST,,8578.69318457016,$[$Cl II$]$,"$[$Cl II$]\,\lambda8581$",forbidden,5.7e-09,0,1.0
[SIII]-9071,[S III],9071.1,0.037033,1.40384,0.0185,3.8e-10,3-5,3s23p2-3s23p2,3P-1D,1-2,M1,NIST,,9068.610616885075,$[$S III$]$,"$[$S III$]\,\lambda9071$",forbidden,1.14e-09,1,0.4038911996351568
[SIII]-9533,[S III],9533.2,0.103289,1.40384,0.0478,6.51e-10,5-5,3s23p2-3s23p2,3P-1D,2-2,M1,NIST,,9530.58551340415,$[$S III$]$,"$[$S III$]\,\lambda9533$",forbidden,3.255e-09,1,0.5961088003648433
[CI]-9827,[C I],9826.812,0.002035413,1.2637284,7.3e-05,1.8e-12,3-5,2s22p2-2s22p2,3P-1D,1-2,M1,NIST,,9824.117981988411,$[$C I$]$,"$[$C I$]\,\lambda9827$",forbidden,5.4000000000000004e-12,1,0.3618381696806559
[CI]-9853,[C I],9852.951,0.0053825826,1.2637284,0.00022,3.2e-12,5-5,2s22p2-2s22p2,3P-1D,2-2,M1,NIST,,9850.249900187317,$[$C I$]$,"$[$C I$]\,\lambda9853$",forbidden,1.6e-11,1,0.638161830319344
[SVIII]-9916,[S VIII],9916.0,0.0,1.2504,18.4,1.36e-07,4-2,2s22p5-2s22p5,2P*-2P*,3/2-1/2,M1,NIST,,9913.281817467718,$[$S VIII$]$,"$[$S VIII$]\,\lambda9916$",forbidden,5.44e-07,0,1.0
[SII]-10290,[S II],10289.57,1.841535,3.046485,0.0623,9.89e-10,4-4,3s23p3-3s23p3,2D*-2P*,3/2-3/2,M1,NIST,,10286.750574921676,$[$S II$]$,"$[$S II$]\,\lambda10290$",forbidden,3.956e-09,1,0.3677147658897
[SII]-10323,[S II],10323.32,1.845474,3.046485,0.122,1.3e-09,6-4,3s23p3-3s23p3,2D*-2P*,5/2-3/2,E2,NIST,,10320.49142611172,$[$S II$]$,"$[$S II$]\,\lambda10323$",forbidden,7.8e-09,1,0.4786208782062759
[SII]-10339,[S II],10339.24,1.841535,3.040696,0.104,8.33e-10,4-2,3s23p3-3s23p3,2D*-2P*,3/2-1/2,E2,NIST,,10336.407110468424,$[$S II$]$,"$[$S II$]\,\lambda10339$",forbidden,3.332e-09,1,0.15366435590402405
