key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII-3808,Fe II,3807.897,4.731757,7.987733,3095.0,6.727423216126747e-06,6-6,(1D)4s-(3F)4p,c2D-z2F,5/2-5/2,E1,3806.816,permitted,4.036453929676048e-05,4,4.834705442069422e-05,c2D,K88,--
FeII-3808,Fe II,3808.139,7.653058,10.908827,492700.0,0.0008033596466462742,8-6,(3P)4p-(5D)4d,y4D-4P,7/2-5/2,E1,3807.058,permitted,0.006426877173170194,63,0.0067191971016684875,y4D,K88,--
FeII-3811,Fe II,3810.901,9.062202,12.315611,50240.0,0.00010939563662720941,10-10,(1G)4p-(3H)5s,w2G-e2H,9/2-9/2,E1,3809.82,permitted,0.0010939563662720941,10,0.004080326436345308,w2G,K88,--
FeII]-3811,Fe II,3811.035,9.099935,12.35323,51040.0,0.00014820018630965802,6-8,d54s2-(4G)sp,4F-2G,5/2-7/2,E1,3809.954,semi-forbidden,0.0008892011178579481,104,0.0019623752341477994,4F,K88,--
FeII]-3811,Fe II,3811.298,4.6156,7.868671,4623.0,2.0135851716272975e-05,2-4,(1S)4s-(3F)4p,a2S-x4D,1/2-3/2,E1,3810.216,semi-forbidden,4.027170343254595e-05,18,0.00040398465645070415,a2S,K88,--
FeII]-3813,Fe II,3813.008,6.484298,9.73591,1586.0,3.4581891957581843e-06,6-6,(6S)sp-(5D)5s,z8P-e6D,5/2-5/2,E1,3811.926,semi-forbidden,2.0749135174549106e-05,100,0.05454756794909327,z8P,K88,--
FeII-3814,Fe II,3814.335,8.970508,12.220987,2005.0,4.374314587854462e-06,8-8,(3D)4p-(3H)5s,w4F-e4H,7/2-7/2,E1,3813.253,permitted,3.4994516702835694e-05,23,0.00014781377118380857,w4F,K88,--
FeII]-3815,Fe II,3814.986,7.47257,10.722494,12880.0,2.8113182572947256e-05,8-8,d54s2-(1F)4p,c4D-u2F,7/2-7/2,E1,3813.904,semi-forbidden,0.00022490546058357805,107,0.0005980261752646114,c4D,K88,--
FeII-3815,Fe II,3815.207,4.737995,7.987733,297100.0,0.0009726128624857012,4-6,(1D)4s-(3F)4p,c2D-z2F,3/2-5/2,E1,3814.124,permitted,0.003890451449942805,4,0.006949643672301717,c2D,FMW,--
FeII-3817,Fe II,3817.173,7.488936,10.736999,4472.0,9.768969408567141e-06,6-6,(3P)4p-(5D)4d,y4P-e4F,5/2-5/2,E1,3816.09,permitted,5.8613816451402846e-05,64,0.000268193177659705,y4P,K88,--
FeII-3818,Fe II,3818.424,9.068612,12.315611,1292000.0,0.0035310999686446343,8-10,(1G)4p-(3H)5s,w2G-e2H,7/2-9/2,E1,3817.341,permitted,0.028248799749157075,10,0.13092888496987712,w2G,K88,--
FeII]-3819,Fe II,3819.175,8.959312,12.205674,2266.0,4.128751590039921e-06,12-10,(1G)4p-(3H)5s,x2H-e4H,11/2-9/2,E1,3818.091,semi-forbidden,4.954501908047905e-05,11,0.00487048325408929,x2H,K88,--
FeII]-3822,Fe II,3822.483,9.111873,12.355425,5376.0,1.4720074669010099e-05,8-10,d54s2-(4G)sp,4F-2G,7/2-9/2,E1,3821.399,semi-forbidden,0.00011776059735208079,104,0.00024023318106565318,4F,K88,--
