key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,classification,gf,multiplet,line_ratio
[FeII]-3485,[Fe II],3485.01,0.38651921,3.9441623,0.052,1.42e-10,4-6,3d7-3d7,a4F-b2F,3/2-5/2,M1,NIST,,3484.0122161747586,$[$Fe II$]$,"$[$Fe II$]\,\lambda3485$",forbidden,5.68e-10,60,0.4508472688299026
[FeII]-3491,[Fe II],3490.984,0.35186476,3.90341906,0.0409,1e-10,6-8,3d7-3d6(3D)4s,a4F-b4D,5/2-7/2,E2,NIST,,3489.985362533184,$[$Fe II$]$,"$[$Fe II$]\,\lambda3491$",forbidden,6e-10,41,0.023820386411358255
[FeII]-3503,[Fe II],3502.627,0.35186476,3.89161339,0.371,6.82e-10,6-6,3d7-3d6(3D)4s,a4F-b4D,5/2-5/2,E2,NIST,,3501.625392725467,$[$Fe II$]$,"$[$Fe II$]\,\lambda3503$",forbidden,4.092e-09,41,0.12229427812384669
[FeII]-3505,[Fe II],3505.024,0.35186476,3.8891925,0.683,4.2e-10,6-2,3d7-3d6(3D)4s,a4F-b4D,5/2-1/2,E2,NIST,,3504.021876986121,$[$Fe II$]$,"$[$Fe II$]\,\lambda3505$",forbidden,2.52e-09,41,0.02512340843897821
[FeII]-3506,[Fe II],3505.516,0.35186476,3.88869686,0.214,2.63e-10,6-4,3d7-3d6(3D)4s,a4F-b4D,5/2-3/2,E2,NIST,,3504.5129807967214,$[$Fe II$]$,"$[$Fe II$]\,\lambda3506$",forbidden,1.5780000000000001e-09,41,0.03146892673775431
[FeII]-3534,[Fe II],3533.867,0.9863338,4.49479059,0.19,2.6e-10,8-6,3d6(5D)4s-3d6(3D)4s,a4D-b2D,7/2-5/2,M1,NIST,,3532.857163234371,$[$Fe II$]$,"$[$Fe II$]\,\lambda3534$",forbidden,2.08e-09,15,0.2591114663343154
[FeII]-3537,[Fe II],3537.257,0.38651921,3.89161339,0.0728,2.05e-10,4-6,3d7-3d6(3D)4s,a4F-b4D,3/2-5/2,E2,NIST,,3536.246551203817,$[$Fe II$]$,"$[$Fe II$]\,\lambda3537$",forbidden,8.2e-10,41,0.03569089621858859
[FeII]-3540,[Fe II],3539.702,0.38651921,3.8891925,0.513,4.82e-10,4-2,3d7-3d6(3D)4s,a4F-b4D,3/2-1/2,E2,NIST,,3538.690762274101,$[$Fe II$]$,"$[$Fe II$]\,\lambda3540$",forbidden,1.928e-09,41,0.027992983695532405
[FeII]-3540,[Fe II],3540.203,0.38651921,3.88869686,0.425,7.99e-10,4-4,3d7-3d6(3D)4s,a4F-b4D,3/2-3/2,E2,NIST,,3539.1915434081893,$[$Fe II$]$,"$[$Fe II$]\,\lambda3540$",forbidden,3.196e-09,41,0.0928205902722519
[FeII]-3589,[Fe II],3589.25,1.04046986,4.49479059,0.051,9.9e-11,6-6,3d6(5D)4s-3d6(3D)4s,a4D-b2D,5/2-5/2,M1,NIST,,3588.225702663207,$[$Fe II$]$,"$[$Fe II$]\,\lambda3589$",forbidden,5.94e-10,15,0.09416466221198774
[FeII]-3606,[Fe II],3605.623,1.04046986,4.47910423,0.015,1.9e-11,6-4,3d6(5D)4s-3d6(3D)4s,a4D-b2D,5/2-3/2,M1,NIST,,3604.594880609451,$[$Fe II$]$,"$[$Fe II$]\,\lambda3606$",forbidden,1.14e-10,15,0.012102939395106229
[FeII]-3627,[Fe II],3626.807,1.07624119,4.49479059,0.067,2e-10,4-6,3d6(5D)4s-3d6(3D)4s,a4D-b2D,3/2-5/2,M1,NIST,,3625.7735141045378,$[$Fe II$]$,"$[$Fe II$]\,\lambda3627$",forbidden,8e-10,15,0.18438285919830133
[FeII]-3644,[Fe II],3643.526,1.07624119,4.47910423,0.074,1.5e-10,4-4,3d6(5D)4s-3d6(3D)4s,a4D-b2D,3/2-3/2,M1,NIST,,3642.4878967907266,$[$Fe II$]$,"$[$Fe II$]\,\lambda3644$",forbidden,6e-10,15,0.09259847704988165
[FeII]-3666,[Fe II],3665.739,1.09686139,4.47910423,0.146,5.9e-10,2-4,3d6(5D)4s-3d6(3D)4s,a4D-b2D,1/2-3/2,M1,NIST,,3664.6952565099295,$[$Fe II$]$,"$[$Fe II$]\,\lambda3666$",forbidden,1.18e-09,15,0.35763959581040766
[FeII]-3875,[Fe II],3875.169,0.0,3.19945278,0.0138,3.1e-11,10-10,3d6(5D)4s-3d6(3G)4s,a6D-a4G,9/2-9/2,M1,NIST,,3874.070702846228,$[$Fe II$]$,"$[$Fe II$]\,\lambda3875$",forbidden,3.1e-10,0,1.0
[FeII]-4035,[Fe II],4035.118,0.35186476,3.42449356,0.0117,2.86e-11,6-6,3d7-3d6(3F2)4s,a4F-a2F,5/2-5/2,E2,NIST,,4033.9781181070084,$[$Fe II$]$,"$[$Fe II$]\,\lambda4035$",forbidden,1.716e-10,44,0.09551122045667386
[FeII]-4050,[Fe II],4050.26,1.67061856,4.7317602,0.0303,7.5e-11,6-6,3d7-3d6(1D2)4s,a4P-c2D,5/2-5/2,M1+E2,NIST,,4049.116239071228,$[$Fe II$]$,"$[$Fe II$]\,\lambda4050$",forbidden,4.5e-10,29,0.2408951110502507
[FeII]-4075,[Fe II],4074.764,1.6952613,4.7379945,0.0164,4.1e-11,4-4,3d7-3d6(1D2)4s,a4P-c2D,3/2-3/2,M1+E2,NIST,,4073.613729190803,$[$Fe II$]$,"$[$Fe II$]\,\lambda4075$",forbidden,1.64e-10,29,0.08559703051262149
[FeII]-4081,[Fe II],4081.147,0.38651921,3.42449356,0.0422,1.58e-10,4-6,3d7-3d6(3F2)4s,a4F-a2F,3/2-5/2,M1+E2,NIST,,4079.995058863938,$[$Fe II$]$,"$[$Fe II$]\,\lambda4081$",forbidden,6.32e-10,44,0.5099968017548046
[FeII]-4083,[Fe II],4083.13,1.6952613,4.7317602,0.0469,1.76e-10,4-6,3d7-3d6(1D2)4s,a4P-c2D,3/2-5/2,E2,NIST,,4081.977539893349,$[$Fe II$]$,"$[$Fe II$]\,\lambda4083$",forbidden,7.04e-10,29,0.5517577949216095
[FeII]-4085,[Fe II],4085.478,0.35186476,3.38661825,0.0264,8.8e-11,6-8,3d7-3d6(3F2)4s,a4F-a2F,5/2-7/2,E2,NIST,,4084.3253352596685,$[$Fe II$]$,"$[$Fe II$]\,\lambda4085$",forbidden,5.28e-10,44,0.3944919777885217
[FeII]-4114,[Fe II],4113.594,1.72398297,4.7379945,0.0118,6e-11,2-4,3d7-3d6(1D2)4s,a4P-c2D,1/2-3/2,M1+E2,NIST,,4112.43356411017,$[$Fe II$]$,"$[$Fe II$]\,\lambda4114$",forbidden,1.2e-10,29,0.12175006351551844
[FeII]-4116,[Fe II],4115.636,0.23217279,3.24468891,0.155,4.72e-10,10-12,3d7-3d6(3H)4s,a4F-b2H,9/2-11/2,E2,NIST,,4114.475029290882,$[$Fe II$]$,"$[$Fe II$]\,\lambda4116$",forbidden,4.72e-09,51,0.6088138384796149
[FeII]-4159,[Fe II],4159.088,0.9863338,3.96737644,0.036,9.3e-11,8-8,3d6(5D)4s-3d7,a4D-b2F,7/2-7/2,M1,NIST,,4157.916042780151,$[$Fe II$]$,"$[$Fe II$]\,\lambda4159$",forbidden,7.44e-10,25,0.5680397452858382
