key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
TiI-3704,Ti I,3703.65,2.092248,5.43987,5257000.0,0.006486792346986983,5-3,(3F)sp-(4F)4d,z5F-5F,2-1,E1,3702.596,permitted,0.032433961734934916,46,0.0038673453105613474,z5F,K,--
FeI-3704,Fe I,3703.745,3.332019,6.679556,3415.0,7.024368955415474e-06,11-11,5Dsp3P-(4F)4d,z5F-e5H,5-5,E1,3702.691,permitted,7.726805850957021e-05,108,2.1842674495961452e-05,z5F,K94,--
FeI]-3704,Fe I,3703.873,3.883509,7.230929,3233.0,8.548737072290284e-06,7-9,5Dsp3P-s6D)7s,z3D-5D,3-4,E1,3702.819,semi-forbidden,5.9841159506031984e-05,104,3.489383320618306e-05,z3D,K94,--
TiI]-3704,Ti I,3704.038,1.502489,4.849761,174000.0,0.00035789653236482607,9-9,s2-(2H)4p,a1G-x3H,4-4,E1,3702.984,semi-forbidden,0.0032210687912834347,101,0.0007442316159342381,a1G,K,--
FeI-3704,Fe I,3704.257,3.928607,7.27568,4882.0,1.4061446397676681e-05,5-7,5Dsp3P-s4D)4d,z3D-3D,2-3,E1,3703.203,permitted,7.030723198838341e-05,104,4.022445370190882e-05,z3D,K94,--
TiII]-3704,Ti II,3704.279,6.974,10.321053,3130.0,9.659174426351724e-06,4-6,(2D)sp-(3F)6s,y4P-2F,3/2-5/2,E1,3703.225,semi-forbidden,3.86366977054069e-05,17,0.03218508950505777,y4P,K88,--
FeI-3704,Fe I,3704.484,3.368256,6.715125,436100.0,0.0006978426209036866,9-7,5Dsp3P-(4F)4d,z5F-f5G,4-3,E1,3703.43,permitted,0.0062805835881331795,108,0.0012707187403983799,z5F,K94,--
FeI-3705,Fe I,3704.602,2.758577,6.105339,3842000.0,0.007905001560224811,7-7,(2G)4s-(2G)4p,a3G-w3F,3-3,E1,3703.548,permitted,0.05533501092157368,11,0.02186872566328135,a3G,O,--
FeI-3705,Fe I,3704.638,2.758577,6.105306,3465000.0,0.005092159048946347,7-5,(2G)4s-3Fsp3P,a3G-v3D,3-2,E1,3703.584,permitted,0.03564511334262443,11,0.01006273515515987,a3G,K94,--
FeI]-3705,Fe I,3704.666,3.653693,7.000397,11710.0,3.373106050777481e-05,5-7,5Dsp3P-s6D)5d,z5P-7P,2-3,E1,3703.612,semi-forbidden,0.00016865530253887406,109,0.00010564695056824597,z5P,K94,--
FeI]-3705,Fe I,3704.745,2.939846,6.286478,5311000.0,0.013358493717971254,9-11,5Dsp3P-s6D)4d,z7P-e5G,4-5,E1,3703.691,semi-forbidden,0.12022644346174129,112,0.05426945845686152,z7P,FMW,--
FeI-3705,Fe I,3704.875,2.858052,6.204567,11730000.0,0.07244359600749903,1-3,(4P)4s-(2P)4p,b3P-w3P,0-1,E1,3703.821,permitted,0.07244359600749903,53,0.13089869035737436,b3P,FMW,--
TiI]-3705,Ti I,3705.037,1.980726,5.327094,5721.0,1.17734016430429e-05,7-7,(3F)sp-d4,z5G-3F1,3-3,E1,3703.983,semi-forbidden,8.241381150130029e-05,47,1.36227542116629e-05,z5G,K,--
FeI]-3705,Fe I,3705.068,3.071339,6.417679,1540000.0,0.005282977308203711,3-5,(2P)4s-3Hsp3P,c3P-x1D,1-2,E1,3704.014,semi-forbidden,0.015848931924611134,24,0.020936524777183843,c3P,FMW,--
TiII-3705,Ti II,3705.087,4.008748,7.355071,29880.0,6.149626642835842e-05,6-6,d34d-(2D)sp,2D1-w2F,5/2-5/2,E1,3704.033,permitted,0.00036897759857015046,51,0.0008320637024227083,2D1,K88,--
TiI-3705,Ti I,3705.346,1.460138,4.806228,2590000.0,0.004147223975508007,9-7,(4F)4s-(2P)4p,b3F-t3D,4-3,E1,3704.292,permitted,0.03732501577957206,66,0.0042073088454497734,b3F,K,--
FeI-3705,Fe I,3705.396,3.686389,7.032434,73700.0,0.0002528591916763945,3-5,5Dsp3P-s6D)5d,z5P-5S,1-2,E1,3704.342,permitted,0.0007585775750291835,109,0.0005248426248168302,z5P,K94,--
FeI]-3705,Fe I,3705.399,3.414897,6.760939,16090.0,5.519233211565092e-05,3-5,(2P)4s-(4F)5p,a1P-5D,1-2,E1,3704.345,semi-forbidden,0.00016557699634695277,23,0.00035498384192524617,a1P,K94,--
FeI]-3705,Fe I,3705.403,3.23672,6.582758,172000.0,0.00035404351813950446,13-13,(2H)4s-(2H)4p,b3H-1I,6-6,E1,3704.349,semi-forbidden,0.004602565735813558,16,0.0011950685083360227,b3H,K94,--
FeI]-3706,Fe I,3705.515,2.692407,6.038344,13250000.0,0.02231553559713664,11-9,(2G)4s-3Hsp3P,a3G-y1G,5-4,E1,3704.461,semi-forbidden,0.24547089156850305,11,0.09265742619326497,a3G,FMW,--
FeI]-3706,Fe I,3705.812,3.959723,7.305392,29270.0,0.00010043353413953739,3-5,5Dsp3P-s4D)4d,z3D-5S,1-2,E1,3704.758,semi-forbidden,0.0003013006024186122,104,0.00019130030896997248,z3D,K94,--
