ion,wave_vac,key,configuration,terms,Ei,Ek,Aki,fik,gigk
He II,1640.474,HeII-1640,2p-3d,2P*-2D,40.81375709639,48.371583992058,1035100000.0,0.62642,4-6
He II,2734.158,HeII-2734,3d-6f,2D-2F*,48.371583992058,52.9062223646,34360000.0,0.051345,6-8
He II,3204.091,HeII-3204,3d-5f,2D-2F*,48.371583992058,52.2411437612,72724000.0,0.14924,6-8
He II,4687.116,HeII-4687,3d-4f,2D-2F*,48.371583992058,51.0167971898,220760000.0,0.96946,6-8
