--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
--------------------------------------------------------------------------------------------------------------------------
   102.5343              -6.104 1.248e+03  26.01 Fe II       0.082782   2.5 (5D)4s a6D    12.174752   1.5 (4D)sp 4F  K88  
   102.5725              -3.254 5.887e+05  26.01 Fe II       0.106950   1.5 (5D)4s a6D    12.194424   2.5 (4D)sp 4F  K88  
   102.5897              -3.401 6.293e+05  26.01 Fe II       0.106950   1.5 (5D)4s a6D    12.192393   1.5 (4P)sp 4S  K88  
   102.5993              -9.368 2.715e-01  26.01 Fe II       0.047708   3.5 (5D)4s a6D    12.132021   4.5 (1G)4p 2H  K88  
   102.6923              -6.642 1.803e+02  26.01 Fe II       0.301294   3.5 d7 a4F        12.374664   3.5 (1G)4p 2G  K88  
   102.7103              -4.215 9.635e+04  26.01 Fe II       0.121139   0.5 (5D)4s a6D    12.192393   1.5 (4P)sp 4S  K88  
   102.7397              -3.911 1.939e+05  26.01 Fe II       0.106950   1.5 (5D)4s a6D    12.174752   1.5 (4D)sp 4F  K88  
   102.7464              -5.485 2.068e+03  26.01 Fe II       0.301294   3.5 d7 a4F        12.368306   4.5 (1G)4p 2G  K88  
   102.8562              -4.850 8.906e+03  26.01 Fe II       0.301294   3.5 d7 a4F        12.355425   4.5 (4G)sp 2G  K88  
   102.8606              -4.569 4.252e+04  26.01 Fe II       0.121139   0.5 (5D)4s a6D    12.174752   1.5 (4D)sp 4F  K88  
   102.8749              -6.715 1.519e+02  26.01 Fe II       0.301294   3.5 d7 a4F        12.353230   3.5 (4G)sp 2G  K88  
   103.0650              -6.712 1.523e+02  26.01 Fe II       0.232169   4.5 d7 a4F        12.261877   3.5 (1G)4p 2F  K88  
   103.1242              -6.858 1.087e+02  26.01 Fe II       0.351861   2.5 d7 a4F        12.374664   3.5 (1G)4p 2G  K88  
   103.3084              -6.312 3.809e+02  26.01 Fe II       0.351861   2.5 d7 a4F        12.353230   3.5 (4G)sp 2G  K88  
   103.3869              -2.998 6.269e+05  26.01 Fe II       0.232169   4.5 d7 a4F        12.224427   4.5 (4D)sp 4F  K88  
   103.4519              -4.606 1.930e+04  26.01 Fe II       0.232169   4.5 d7 a4F        12.216888   3.5 (4D)sp 4F  K88  
