--------------------------------------------------------------------------------------------------------------------------
    Wl_vac      Wl_air   log_gf   A-Value   Elem. Element E_lower_lev.   J   Config.    E_upper_lev.   J   Config.    Ref.
     / nm        / nm              / 1/s   (Code) (Name)      / eV     lower lower          / eV     upper upper          
   122.8558              -4.205 6.891e+04  22.01 Ti II       0.112580   1.5 d3 b4F        10.204426   1.5 (3F)4f 4S  K88  
   122.8711              -2.287 5.704e+06  22.01 Ti II       0.121987   2.5 d3 b4F        10.212575   1.5 (3F)4f 2P  K88  
   122.9097              -4.734 6.788e+03  22.01 Ti II       0.048780   4.5 (3F)4s a4F    10.136202   5.5 (3F)4f 4H  K88  
   122.9337              -4.715 8.507e+03  22.01 Ti II       0.048780   4.5 (3F)4s a4F    10.134236   4.5 (3F)4f 4I  K88  
   122.9432              -4.844 1.053e+04  22.01 Ti II       0.112580   1.5 d3 b4F        10.197250   2.5 (3F)4f 4D  K88  
   122.9483              -2.080 6.117e+06  22.01 Ti II       0.121987   2.5 d3 b4F        10.206244   2.5 (3F)4f 2D  K88  
   122.9704              -2.044 9.965e+06  22.01 Ti II       0.121987   2.5 d3 b4F        10.204426   1.5 (3F)4f 4S  K88  
   123.0128              -4.094 4.437e+04  22.01 Ti II       0.048780   4.5 (3F)4s a4F    10.127750   3.5 (3F)4f 2G  K88  
   123.0272              -4.718 8.436e+03  22.01 Ti II       0.048780   4.5 (3F)4s a4F    10.126571   4.5 (3F)4f 4H  K88  
   123.0580              -3.053 6.498e+05  22.01 Ti II       0.121987   2.5 d3 b4F        10.197250   2.5 (3F)4f 4D  K88  
   123.1048              -2.268 3.958e+06  22.01 Ti II       0.134810   3.5 d3 b4F        10.206244   2.5 (3F)4f 2D  K88  
   123.2021              -1.929 6.468e+06  22.01 Ti II       0.121987   2.5 d3 b4F        10.185464   3.5 (3F)4f 2F  K88  
   123.2148              -0.990 7.493e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.197250   2.5 (3F)4f 4D  K88  
   123.2173              -2.226 6.527e+06  22.01 Ti II       0.112580   1.5 d3 b4F        10.174821   1.5 (3F)4f 2D  K88  
   123.2284              -2.833 8.065e+05  22.01 Ti II       0.121987   2.5 d3 b4F        10.183317   3.5 (3F)4f 4D  K88  
   123.2501              -1.932 2.568e+07  22.01 Ti II       0.112580   1.5 d3 b4F        10.172141   0.5 (3F)4f 4P  K88  
   123.2849              -4.989 1.125e+04  22.01 Ti II       0.112580   1.5 d3 b4F        10.169300   1.5 (3F)4f 4D  K88  
   123.3038              -1.763 3.786e+07  22.01 Ti II       0.112580   1.5 d3 b4F        10.167764   0.5 (3F)4f 4D  K88  
   123.3216              -1.610 1.794e+07  22.01 Ti II       0.112580   1.5 d3 b4F        10.166311   2.5 (3F)4f 4P  K88  
   123.3326              -1.876 1.459e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.174821   1.5 (3F)4f 2D  K88  
   123.3593              -1.620 1.314e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.185464   3.5 (3F)4f 2F  K88  
   123.3651              -1.539 1.267e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.184997   4.5 (3F)4f 4F  K88  
   123.3857              -0.820 8.289e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.183317   3.5 (3F)4f 4D  K88  
   123.4003              -1.413 4.231e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.169300   1.5 (3F)4f 4D  K88  
   123.4031              -3.461 2.525e+05  22.01 Ti II       0.112580   1.5 d3 b4F        10.159668   2.5 (3F)4f 2F  K88  
   123.4371              -1.141 5.273e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.166311   2.5 (3F)4f 4P  K88  
   123.4703              -0.901 5.495e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.176428   4.5 (3F)4f 4G  K88  
   123.5064              -1.478 1.212e+07  22.01 Ti II       0.150745   4.5 d3 b4F        10.189432   5.5 (3F)4f 2H  K88  
   123.5183              -1.394 4.412e+07  22.01 Ti II       0.112580   1.5 d3 b4F        10.150301   1.5 (3F)4f 4P  K88  
   123.5188              -1.048 6.524e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.159668   2.5 (3F)4f 2F  K88  
   123.5552              -4.081 4.532e+04  22.01 Ti II       0.150745   4.5 d3 b4F        10.185464   3.5 (3F)4f 2F  K88  
   123.5610              -0.238 2.526e+08  22.01 Ti II       0.150745   4.5 d3 b4F        10.184997   4.5 (3F)4f 4F  K88  
   123.5651              -1.446 1.955e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.155908   3.5 (3F)4f 4F  K88  
   123.5817              -1.076 4.583e+07  22.01 Ti II       0.150745   4.5 d3 b4F        10.183317   3.5 (3F)4f 4D  K88  
   123.5949              -2.755 1.279e+06  22.01 Ti II       0.134810   3.5 d3 b4F        10.166311   2.5 (3F)4f 4P  K88  
   123.6111              -0.824 1.637e+08  22.01 Ti II       0.112580   1.5 d3 b4F        10.142760   1.5 (3F)4f 4F  K88  
   123.6289              -0.177 2.419e+08  22.01 Ti II       0.150745   4.5 d3 b4F        10.179482   5.5 (3F)4f 4G  K88  
   123.6341              -1.583 2.850e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.150301   1.5 (3F)4f 4P  K88  
   123.6446              -0.627 1.287e+08  22.01 Ti II       0.121987   2.5 d3 b4F        10.149451   3.5 (3F)4f 4G  K88  
   123.6614              -2.568 1.966e+06  22.01 Ti II       0.112580   1.5 d3 b4F        10.138681   2.5 (3F)4f 4F  K88  
   123.6666              -2.181 2.875e+06  22.01 Ti II       0.150745   4.5 d3 b4F        10.176428   4.5 (3F)4f 4G  K88  
   123.6768              -1.222 4.359e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.159668   2.5 (3F)4f 2F  K88  
   123.7062              -0.501 1.375e+08  22.01 Ti II       0.134810   3.5 d3 b4F        10.157280   4.5 (3F)4f 2H  K88  
   123.7232              -0.556 1.514e+08  22.01 Ti II       0.134810   3.5 d3 b4F        10.155908   3.5 (3F)4f 4F  K88  
   123.7272              -2.746 1.955e+06  22.01 Ti II       0.121987   2.5 d3 b4F        10.142760   1.5 (3F)4f 4F  K88  
   123.7376              -0.383 3.006e+08  22.01 Ti II       0.112580   1.5 d3 b4F        10.132506   2.5 (3F)4f 4G  K88  
   123.7776              -0.790 1.177e+08  22.01 Ti II       0.121987   2.5 d3 b4F        10.138681   2.5 (3F)4f 4F  K88  
   123.7851              -4.091 2.942e+04  22.01 Ti II       0.150745   4.5 d3 b4F        10.166829   5.5 (3F)4f 2I  K88  
   123.8029              -2.038 4.984e+06  22.01 Ti II       0.134810   3.5 d3 b4F        10.149451   3.5 (3F)4f 4G  K88  
   123.8317              -1.134 3.195e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.147126   4.5 (3F)4f 2G  K88  
   123.8539              -3.152 5.107e+05  22.01 Ti II       0.121987   2.5 d3 b4F        10.132506   2.5 (3F)4f 4G  K88  
   123.9032              -1.919 5.236e+06  22.01 Ti II       0.150745   4.5 d3 b4F        10.157280   4.5 (3F)4f 2H  K88  
   123.9128              -0.561 1.492e+08  22.01 Ti II       0.121987   2.5 d3 b4F        10.127750   3.5 (3F)4f 2G  K88  
   123.9202              -2.646 1.227e+06  22.01 Ti II       0.150745   4.5 d3 b4F        10.155908   3.5 (3F)4f 4F  K88  
   123.9362              -3.985 7.492e+04  22.01 Ti II       0.134810   3.5 d3 b4F        10.138681   2.5 (3F)4f 4F  K88  
   123.9563              -0.812 5.577e+07  22.01 Ti II       0.150745   4.5 d3 b4F        10.152999   5.5 (3F)4f 4I  K88  
   123.9913              -1.458 1.511e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.134236   4.5 (3F)4f 4I  K88  
   124.0002              -3.473 1.825e+05  22.01 Ti II       0.150745   4.5 d3 b4F        10.149451   3.5 (3F)4f 4G  K88  
   124.0022              -1.510 1.676e+07  22.01 Ti II       0.121987   2.5 d3 b4F        10.120537   3.5 (3F)4f 4H  K88  
   124.0128              -3.223 4.326e+05  22.01 Ti II       0.134810   3.5 d3 b4F        10.132506   2.5 (3F)4f 4G  K88  
   124.0291              -1.581 1.138e+07  22.01 Ti II       0.150745   4.5 d3 b4F        10.147126   4.5 (3F)4f 2G  K88  
   124.0718              -2.059 4.728e+06  22.01 Ti II       0.134810   3.5 d3 b4F        10.127750   3.5 (3F)4f 2G  K88  
   124.0864              -0.769 7.374e+07  22.01 Ti II       0.134810   3.5 d3 b4F        10.126571   4.5 (3F)4f 4H  K88  
   124.1614              -2.343 2.455e+06  22.01 Ti II       0.134810   3.5 d3 b4F        10.120537   3.5 (3F)4f 4H  K88  
   124.1648              -1.213 2.208e+07  22.01 Ti II       0.150745   4.5 d3 b4F        10.136202   5.5 (3F)4f 4H  K88  
   124.1892              -2.604 1.076e+06  22.01 Ti II       0.150745   4.5 d3 b4F        10.134236   4.5 (3F)4f 4I  K88  
   124.2700              -3.951 6.044e+04  22.01 Ti II       0.150745   4.5 d3 b4F        10.127750   3.5 (3F)4f 2G  K88  
   124.2846              -4.615 1.048e+04  22.01 Ti II       0.150745   4.5 d3 b4F        10.126571   4.5 (3F)4f 4H  K88  
   128.6316              -2.594 2.567e+06  22.01 Ti II       0.573871   2.5 (3F)4s a2F    10.212575   1.5 (3F)4f 2P  K88  
   128.7161              -3.031 6.248e+05  22.01 Ti II       0.573871   2.5 (3F)4s a2F    10.206244   2.5 (3F)4f 2D  K88  
   128.7404              -3.233 5.884e+05  22.01 Ti II       0.573871   2.5 (3F)4s a2F    10.204426   1.5 (3F)4f 4S  K88  
