key,ion,wave_vac,Ei,Ek,Aki,configuration,terms,Ji-Jk,type,references,note,wave_air,ion_tex,ion_tex_lambda,multiplet,line_ratio
OVI-1032,O VI,1031.912,0.0,12.015,0.0,1s22s-1s22p,2S-2Po,1/2-3/2,,VB01,,0.0,O VI,"O VI$\,\lambda1032$",26,1.0
OVI-1038,O VI,1037.613,0.0,11.949,0.0,1s22s-1s22p,2S-2Po,1/2-1/2,,VB01,,0.0,O VI,"O VI$\,\lambda1038$",26,1.0
ArI-1067,Ar I,1066.66,0.0,11.624,0.0,3s23p6-3s23p5(2P03/2)4s,1S-2[3/2]0,0-1,,Z97,,0.0,Ar I,"Ar I$\,\lambda1067$",0,0.0
LyA,H I,1215.67,0.0,10.1988358,469860000.0,1s-2,,,E1,NIST,,1215.6701,H I,"H I$\,\lambda1216$",0,0.0
NV-1239,N V,1238.821,0.0,10.008,0.0,1s22s-1s22p,2S-2Po,1/2-3/2,,FO87,,0.0,N V,"N V$\,\lambda1239$",20,1.0
NV-1243,N V,1242.804,0.0,9.976,0.0,1s22s-1s22p,2S-2Po,1/2-1/2,,FO87,,0.0,N V,"N V$\,\lambda1243$",20,1.0
SiII-1260,Si II,1260.422,0.0,9.837,0.0,3s23p-3s23d,2P0-2D,1/2-3/2,,LM04,,0.0,Si II,"Si II$\,\lambda1260$",27,1.0
SiII-1265,Si II,1264.73,0.036,9.839,0.0,3s23p-3s23d,2P0-2D,3/2-5/2,,LM04,,0.0,Si II,"Si II$\,\lambda1265$",27,1.0
OI-1302,O I,1302.168,0.0,9.521,0.0,2s22p4-2s22p3(4S0)3s,3P-3S0,2-1,,VB01,,0.0,O I,"O I$\,\lambda1302$",0,0.0
CII-1335,C II,1334.532,0.0,9.29,0.0,2s22p-2s2p2,2P0-2D,1/2-3/2,,LM04,,0.0,C II,"C II$\,\lambda1335$",2,1.0
CII-1336,C II,1335.708,0.008,9.29,0.0,2s22p-2s2p2,2P0-2D,3/2-5/2,,LM04,,0.0,C II,"C II$\,\lambda1336$",2,0.9602109918611538
SiIV-1394,Si IV,1393.755,0.0,8.896,0.0,2p63s-2p63p,2S-2Po,1/2-3/2,,VB01,,0.0,Si IV,"Si IV$\,\lambda1394$",28,1.0
OIV]-1397,O IV],1397.232,0.0,8.874,0.0,2s22p-2s2p2,2P0-4P,1/2-3/2,,,,0.0,O IV$]$,"O IV$]\,\lambda1397$",25,0.4013069740459904
OIV]-1400,O IV],1399.78,0.0,8.857,0.0,2s22p-2s2p2,2P0-4P,1/2-1/2,,,,0.0,O IV$]$,"O IV$]\,\lambda1400$",25,1.0
SiIV-1403,Si IV,1402.77,0.0,8.839,0.0,2p63s-2p63p,2S-2Po,1/2-1/2,,VB01,,0.0,Si IV,"Si IV$\,\lambda1403$",28,1.0
NIV]-1486,N IV],1486.496,0.0,8.341,0.0,1s22s2-1s22s2p,1S-3P0,0-1,,FO87,,0.0,N IV$]$,"N IV$]\,\lambda1486$",0,0.0
CIV-1548,C IV,1548.187,0.0,8.008,0.0,1s22s-1s22p,2S-2Po,1/2-3/2,,,,0.0,C IV,"C IV$\,\lambda1548$",5,1.0
CIV-1551,C IV,1550.772,0.0,7.995,0.0,1s22s-1s22p,2S-2Po,1/2-1/2,,,,0.0,C IV,"C IV$\,\lambda1551$",5,0.50748497628609
HeII-1640,He II,1640.42,40.813,48.371,0.0,,,,,FO87,,0.0,He II,"He II$\,\lambda1640$",14,1.0
OIII]-1661,O III],1660.809,0.014,7.479,0.0,2s22p2-2s2p3,3P-5So,1-2,,FO87,,0.0,O III$]$,"O III$]\,\lambda1661$",24,1.0
OIII]-1666,O III],1666.15,0.038,7.479,0.0,2s22p2-2s2p3,3P-5So,2-2,,FO87,,0.0,O III$]$,"O III$]\,\lambda1666$",24,1.0
NIII]-1747,N III],1746.823,0.0,7.098,0.0,2s22p-2s2p2,2P0-4P,1/2-3/2,,VB01,,0.0,N III$]$,"N III$]\,\lambda1747$",19,0.4583641830918453
NIII]-1749,N III],1748.656,0.0,7.09,0.0,2s22p-2s2p2,2P0-4P,1/2-1/2,,VB01,,0.0,N III$]$,"N III$]\,\lambda1749$",19,1.0
AlIII-1855,Al III,1854.716,0.0,6.685,0.0,2p63s-2p63p,2S-2Po,1/2-3/2,,VB01,,0.0,Al III,"Al III$\,\lambda1855$",1,1.0
AlIII-1863,Al III,1862.79,0.0,6.656,0.0,2p63s-2p63p,2S-2Po,1/2-1/2,,VB01,,0.0,Al III,"Al III$\,\lambda1863$",1,1.0
SiIII]-1892,Si III],1892.03,0.0,6.553,0.0,3s2-3s3p,1S-3P0,,,D06,,0.0,Si III$]$,"Si III$]\,\lambda1892$",0,0.0
CIII]-1909,C III],1908.734,0.0,6.496,0.0,1s22s2-1s22s2p,1S-3P0,0-1,,FO87,,0.0,C III$]$,"C III$]\,\lambda1909$",0,0.0
NII]-2143,N II],2143.455,0.016,5.801,0.0,2s22p2-2s2p3,3P-5S0,2-2,,LM04,,2142.78,N II$]$,"N II$]\,\lambda2143$",0,0.0
[OIII]-2322,[O III],2321.664,0.014,5.354,0.0,2s22p2-2s22p2,3P-1S,1-0,M1,FO87,,2320.951,$[$O III$]$,"$[$O III$]\,\lambda2322$",51,0.0016395276089526602
CII]-2324,C II],2324.214,0.0,5.334,0.0,2s22p-2s22p,2P0-4P,1/2-3/2,,LM04,,2323.5,C II$]$,"C II$]\,\lambda2324$",4,0.6230032737062456
CII]-2325,C II],2325.404,0.0,5.332,0.0,2s22p-2s22p,2P0-4P,1/2-1/2,,LM04,,2324.69,C II$]$,"C II$]\,\lambda2325$",4,1.0
[NeIV]-2423,[Ne IV],2422.546,0.0,5.11793,0.0052,2s22p3-2s22p3,4S*-2D*,3/2-3/2,M1,NIST,,2421.810371795551,$[$Ne IV$]$,"$[$Ne IV$]\,\lambda2423$",48,0.6759153855832182
[NeIV]-2425,[Ne IV],2425.158,0.0,5.11242,0.00058,2s22p3-2s22p3,4S*-2D*,3/2-5/2,M1+E2,NIST,,2424.4217759588228,$[$Ne IV$]$,"$[$Ne IV$]\,\lambda2425$",48,1.0
[FeXI]-2649,[Fe XI],2649.499,0.0,4.68,0.0,3s23p4-3s23p4,3P-1D,2-2,M1,P98,,2648.71,$[$Fe XI$]$,"$[$Fe XI$]\,\lambda2649$",0,0.0
HeII-2734,He II,2734.098,48.371,52.906,0.0,,,,,T00,,2733.289,He II,"He II$\,\lambda2734$",14,1.0
[MgV]-2784,[Mg V],2783.521,0.0,4.454,0.0,2s22p4-2s22p4,3P-1D,2-2,M1,R11,,2782.7,$[$Mg V$]$,"$[$Mg V$]\,\lambda2784$",44,1.0
MgII-2796,Mg II,2796.352,0.0,4.434,0.0,2p63s-2p63p,2S-2P0,1/2-3/2,,R11,,2795.528,Mg II,"Mg II$\,\lambda2796$",15,1.0
MgII-2804,Mg II,2803.531,0.0,4.422,0.0,2p63s-2p63p,2S-2P0,1/2-1/2,,R11,,2802.705,Mg II,"Mg II$\,\lambda2804$",15,1.0
[FeIV]-2830,[Fe IV],2830.192,0.0,4.381,0.0,3d5-3d5,6S-4P,5/2-3/2,M1,R11,,2829.36,$[$Fe IV$]$,"$[$Fe IV$]\,\lambda2830$",38,0.42825489038650966
[FeIV]-2837,[Fe IV],2836.574,0.0,4.371,0.0,3d5-3d5,6S-4P,5/2-5/2,M1,R11,,2835.74,$[$Fe IV$]$,"$[$Fe IV$]\,\lambda2837$",38,1.0
[ArIV]-2855,[Ar IV],2854.508,0.0,4.343,0.0,3s23p3-3s23p3,4S0-2P0,3/2-3/2,M1,T00,,2853.67,$[$Ar IV$]$,"$[$Ar IV$]\,\lambda2855$",31,0.09393998461350699
[ArIV]-2869,[Ar IV],2869.052,0.0,4.321,0.0,3s23p3-3s23p3,4S0-2P0,3/2-1/2,M1,T00,,2868.21,$[$Ar IV$]$,"$[$Ar IV$]\,\lambda2869$",31,0.04345489773524607
[MgV]-2929,[Mg V],2928.857,0.221,4.454,0.0,2s22p4-2s22p4,3P-1D,1-2,M1,T00,,2928.0,$[$Mg V$]$,"$[$Mg V$]\,\lambda2929$",44,0.2720859192956828
HeI-2946,He I,2945.967,19.82,24.028,0.0,1s2s-1s5p,,,,T00,,2945.106,He I,"He I$\,\lambda2946$",0,0.0
OIII-3134,O III,3133.702,36.893,40.849,0.0,2s22p(2P0)3p-2s22p(2P0)3d,3S-3P0,1-2,,R11,,3132.794,O III,"O III$\,\lambda3134$",23,1.0
HeI-3189,He I,3188.667,19.82,23.708,0.0,1s2s-1s4p,3S-3P0,,,R11,,3187.745,He I,"He I$\,\lambda3189$",0,0.0
HeII-3204,He II,3204.026,48.371,52.241,0.0,,,,,R11,,3203.1,He II,"He II$\,\lambda3204$",14,1.0
OIII-3313,O III,3313.282,33.151,36.893,0.0,2s22p(2P0)3s-2s22p(2P0)3p,3P0-3S,1-1,,R11,,3312.329,O III,"O III$\,\lambda3313$",0,0.0
[NeV]-3347,[Ne V],3346.783,0.051,3.756,0.0,2s22p2-2s22p2,3P-1D,1-2,M1,,,3345.821,$[$Ne V$]$,"$[$Ne V$]\,\lambda3347$",49,0.3663782567182431
[NeV]-3427,[Ne V],3426.863,0.138,3.756,0.0,2s22p2-2s22p2,3P-1D,2-2,M1,,,3425.881,$[$Ne V$]$,"$[$Ne V$]\,\lambda3427$",49,1.0
OIII-3445,O III,3445.039,37.25,40.849,0.0,2s22p(2P0)3p-2s22p(2P0)3d,3P-3P0,2-2,,FO87,,3444.052,O III,"O III$\,\lambda3445$",23,1.0
[NI]-3467,[N I],3467.49,0.0,3.576,0.0,2s22p3-2s22p3,4S0-2P0,3/2-3/2,M1,R11,,3466.497,$[$N I$]$,"$[$N I$]\,\lambda3467$",46,0.015853861786420377
[NI]-3468,[N I],3467.536,0.0,3.576,0.0,2s22p3-2s22p3,4S0-2P0,3/2-1/2,M1,R11,,3466.543,$[$N I$]$,"$[$N I$]\,\lambda3468$",46,0.0033853989470607445
HeI-3489,He I,3488.725,20.964,24.518,0.0,,3Po-3D,,,R11,,3487.727,He I,"He I$\,\lambda3489$",0,0.0
[FeVII]-3587,[Fe VII],3587.344,0.13,3.587,0.0,3p63d2-3p63d2,3F-1G,3-4,M1,FO87,,3586.32,$[$Fe VII$]$,"$[$Fe VII$]\,\lambda3587$",39,0.1991167661264005
H40,H I,3656.165,10.1988358,13.58993566,67.464,2-40,,,E1,NIST,,3655.1233312865097,H I,"H I$\,\lambda3656$",58,0.00034191176470588236
H39,H I,3656.641,10.1988358,13.58949423,76.576,2-39,,,E1,NIST,,3655.5992082711346,H I,"H I$\,\lambda3657$",58,0.0003636877828054298
H38,H I,3657.155,10.1988358,13.5890175,87.206,2-38,,,E1,NIST,,3656.1132753811125,H I,"H I$\,\lambda3657$",58,0.00038744343891402715
H37,H I,3657.712,10.1988358,13.58850159,99.657,2-37,,,E1,NIST,,3656.6698315045614,H I,"H I$\,\lambda3658$",58,0.0004140271493212669
H36,H I,3658.315,10.1988358,13.58794208,114.3,2-36,,,E1,NIST,,3657.273475451927,H I,"H I$\,\lambda3658$",58,0.00044343891402714926
H35,H I,3658.972,10.1988358,13.58733395,131.61,2-35,,,E1,NIST,,3657.9299057491844,H I,"H I$\,\lambda3659$",58,0.00047652714932126697
H34,H I,3659.688,10.1988358,13.58667137,152.16,2-34,,,E1,NIST,,3658.6453207928653,H I,"H I$\,\lambda3660$",58,0.0005135746606334842
H33,H I,3660.47,10.1988358,13.58594765,176.69,2-33,,,E1,NIST,,3659.4270186949175,H I,"H I$\,\lambda3660$",58,0.0005554298642533936
H32,H I,3661.326,10.1988358,13.58515502,206.12,2-32,,,E1,NIST,,3660.2835972309394,H I,"H I$\,\lambda3661$",58,0.000602658371040724
H31,H I,3662.268,10.1988358,13.58428445,241.62,2-31,,,E1,NIST,,3661.2248538659146,H I,"H I$\,\lambda3662$",58,0.0006563914027149321
H30,H I,3663.306,10.1988358,13.58332538,284.74,2-30,,,E1,NIST,,3662.2623855989987,H I,"H I$\,\lambda3663$",58,0.000717760180995475
H29,H I,3664.453,10.1988358,13.58226541,337.42,2-29,,,E1,NIST,,3663.409788911633,H I,"H I$\,\lambda3664$",58,0.0007881787330316743
H28,H I,3665.727,10.1988358,13.58108984,402.24,2-28,,,E1,NIST,,3664.683059663915,H I,"H I$\,\lambda3666$",58,0.0008690610859728505
H27,H I,3667.146,10.1988358,13.57978125,482.61,2-27,,,E1,NIST,,3666.1015928357533,H I,"H I$\,\lambda3667$",58,0.000963235294117647
H26,H I,3668.733,10.1988358,13.57831878,583.04,2-26,,,E1,NIST,,3667.6880825522812,H I,"H I$\,\lambda3669$",58,0.0010722626939487303
H25,H I,3670.516,10.1988358,13.57667733,709.63,2-25,,,E1,NIST,,3669.4704215920283,H I,"H I$\,\lambda3671$",58,0.0012007918552036198
H24,H I,3672.528,10.1988358,13.57482645,870.69,2-24,,,E1,NIST,,3671.482301230921,H I,"H I$\,\lambda3673$",58,0.0013515271493212669
H23,H I,3674.811,10.1988358,13.57272894,1077.7,2-23,,,E1,NIST,,3673.764810827375,H I,"H I$\,\lambda3675$",58,0.0015305429864253394
H22,H I,3677.416,10.1988358,13.57033894,1346.7,2-22,,,E1,NIST,,3676.369137122359,H I,"H I$\,\lambda3677$",58,0.0017437782805429863
H21,H I,3680.406,10.1988358,13.56759946,1700.5,2-21,,,E1,NIST,,3679.3588636420354,H I,"H I$\,\lambda3680$",58,0.0020002828054298642
H20,H I,3683.863,10.1988358,13.56443886,2171.9,2-20,,,E1,NIST,,3682.814169607739,H I,"H I$\,\lambda3684$",58,0.002311368778280543
H19,H I,3687.887,10.1988358,13.56076619,2809.3,2-19,,,E1,NIST,,3686.8375284558742,H I,"H I$\,\lambda3688$",58,0.002691742081447964
H18,H I,3692.612,10.1988358,13.55646454,3685.1,2-18,,,E1,NIST,,3691.561105914755,H I,"H I$\,\lambda3693$",58,0.0031617647058823526
H17,H I,3698.21,10.1988358,13.55138166,4910.1,2-17,,,E1,NIST,,3697.15805706704,H I,"H I$\,\lambda3698$",58,0.0037500000000000003
H16,H I,3704.913,10.1988358,13.54531624,6658.3,2-16,,,E1,NIST,,3703.859222005639,H I,"H I$\,\lambda3705$",58,0.004493778280542986
H15,H I,3713.033,10.1988358,13.53799772,9210.2,2-15,,,E1,NIST,,3711.977319532604,H I,"H I$\,\lambda3713$",58,0.005452488687782805
H14,H I,3723.004,10.1988358,13.52905552,13032.0,2-14,,,E1,NIST,,3721.9448372829743,H I,"H I$\,\lambda3723$",58,0.00670814479638009
[OII]-3727,[O II],3727.092,0.0,3.327,0.0,2s22p3-2s22p3,4S0-2D0,3/2-3/2,M1,,,3726.032,$[$O II$]$,"$[$O II$]\,\lambda3727$",53,0.741100004422846
[OII]-3730,[O II],3729.875,0.0,3.324,0.0,2s22p3-2s22p3,4S0-2D0,3/2-5/2,M1,,,3728.815,$[$O II$]$,"$[$O II$]\,\lambda3730$",53,1.0
H13,H I,3735.436,10.1988358,13.51797128,18927.0,2-13,,,E1,NIST,,3734.3746159172865,H I,"H I$\,\lambda3735$",58,0.00837952488687783
H12,H I,3751.224,10.1988358,13.50400193,28337.0,2-12,,,E1,NIST,,3750.158423367172,H I,"H I$\,\lambda3751$",58,0.010664592760180995
[FeVII]-3760,[Fe VII],3759.988,0.289,3.587,0.0,3p63d2-3p63d2,3F-1G,4-4,M1,"FO87, R11",,3758.92,$[$Fe VII$]$,"$[$Fe VII$]\,\lambda3760$",39,0.28363519612373495
H11,H I,3771.708,10.1988358,13.48605194,43972.0,2-11,,,E1,NIST,,3770.6368103924183,H I,"H I$\,\lambda3772$",58,0.013871606334841628
H10,H I,3798.983,10.1988358,13.46245155,71225.0,2-10,,,E1,NIST,,3797.9043305725017,H I,"H I$\,\lambda3799$",58,0.018520927601809956
H9,H I,3836.479,10.1988358,13.43055424,121560.0,2-9,,,E1,NIST,,3835.3907875975706,H I,"H I$\,\lambda3836$",58,0.025540158371040723
[FeV]-3840,[Fe V],3840.359,0.01,3.328,0.0,3d4-3d4,5D-3F2,3-3,M1,R11,,3839.27,$[$Fe V$]$,"$[$Fe V$]\,\lambda3840$",43,0.17120176884312913
[NeIII]-3870,[Ne III],3869.857,0.0,3.204,0.0,2s22p4-2s22p4,3P-1D,2-2,M1,,,3868.76,$[$Ne III$]$,"$[$Ne III$]\,\lambda3870$",47,1.0
HeI-3890,He I,3889.749,0.0,0.0,0.0,,,,,,,3888.647,He I,"He I$\,\lambda3890$",0,0.0
H8,H I,3890.158,10.1988358,13.38596103,221480.0,2-8,,,E1,NIST,,3889.055620608334,H I,"H I$\,\lambda3890$",58,0.03667986425339367
[FeV]-3892,[Fe V],3892.383,0.159,3.344,0.0,3d4-3d4,5D-3F2,4-4,M1,"FO87, R11",,3891.28,$[$Fe V$]$,"$[$Fe V$]\,\lambda3892$",43,0.0989046734039931
[FeV]-3912,[Fe V],3912.438,0.159,3.328,0.0,3d4-3d4,5D-3F2,4-3,M1,FO87,,3911.33,$[$Fe V$]$,"$[$Fe V$]\,\lambda3912$",43,0.023202315343432672
CaII-3935,Ca II,3934.777,0.0,3.150984,147000000.0,3p64s-3p64p,2S-2P*,1/2-3/2,E1,NIST,,3933.663294444916,Ca II,"Ca II$\,\lambda3935$",8,1.0
[NeIII]-3969,[Ne III],3968.593,0.08,3.204,0.0,2s22p4-2s22p4,3P-1D,1-2,M1,,,3967.47,$[$Ne III$]$,"$[$Ne III$]\,\lambda3969$",47,0.3012167504343238
CaII-3970,Ca II,3969.591,0.0,3.123349,140000000.0,3p64s-3p64p,2S-2P*,1/2-1/2,E1,NIST,,3968.4682132663206,Ca II,"Ca II$\,\lambda3970$",8,1.0
H7,H I,3971.202,10.1988358,13.32091817,438890.0,2-7,,,E1,NIST,,3970.078792834293,H I,"H I$\,\lambda3971$",58,0.055542986425339363
HeI-4027,He I,4027.328,20.964,24.042,0.0,1s2p-1s5d,3P0-3D,,,R11,,4026.19,He I,"He I$\,\lambda4027$",0,0.0
[SII]-4070,[S II],4069.749,0.0,3.046,0.0,3s23p3-3s23p3,4S0-2P0,3/2-3/2,M1,R11,,4068.6,$[$S II$]$,"$[$S II$]\,\lambda4070$",57,0.07093299754497424
[FeV]-4072,[Fe V],4072.39,0.052,3.096,0.0,3d4-3d4,5D-3P2,2-1,M1,FO87,,4071.24,$[$Fe V$]$,"$[$Fe V$]\,\lambda4072$",43,0.18668127941975704
[SII]-4078,[S II],4077.5,0.0,3.041,0.0,3s23p3-3s23p3,4S0-2P0,3/2-1/2,M1,R11,,4076.349,$[$S II$]$,"$[$S II$]\,\lambda4078$",57,0.023333819483318103
Hd,H I,4102.899,10.1988358,13.22070389,973200.0,2-6,,,E1,NIST,,4101.741464792317,H I,"H I$\,\lambda4103$",58,0.09044117647058823
HeI-4145,He I,4144.93,21.218,24.209,0.0,1s2p-1s6d,1P0-1D,,,T00,,4143.761,He I,"He I$\,\lambda4145$",0,0.0
FeII-4180,Fe II,4180.04,2.583,5.549,0.0,3d6(3P2)4s-3d6(5D)4p,b4P-z4F0,5/2-7/2,,OP85,,4178.862,Fe II,"Fe II$\,\lambda4180$",12,0.06564714850924117
[FeV]-4182,[Fe V],4181.778,0.018,2.982,0.0,3d4-3d4,5D-3P2,1-0,M1,R11,,4180.6,$[$Fe V$]$,"$[$Fe V$]\,\lambda4182$",43,0.11148830023503295
[FeV]-4228,[Fe V],4228.381,0.159,3.091,0.0,3d4-3d4,5D-3H,4-4,M1,I04,,4227.19,$[$Fe V$]$,"$[$Fe V$]\,\lambda4228$",43,1.0
FeII-4234,Fe II,4234.364,2.583,5.511,0.0,3d6(3P2)4s-3d6(5D)4p,b4P-z4D0,5/2-7/2,,OP85,,4233.172,Fe II,"Fe II$\,\lambda4234$",12,1.0
[FeII]-4289,[Fe II],4288.6,0.0,2.891,0.0,3d6(5D)4s-3d54s2,a6D-a6S,9/2-5/2,E2,I01,,4287.394,$[$Fe II$]$,"$[$Fe II$]\,\lambda4289$",35,1.0
FeII-4304,Fe II,4304.387,2.704,5.584,0.0,3d6(3P2)4s-3d6(5D)4p,b4P-z4D0,3/2-3/2,,OP85,,4303.176,Fe II,"Fe II$\,\lambda4304$",12,0.009137553731278511
OII-4318,O II,4318.353,22.966,25.837,0.0,2s22p2(3P)3s-2s22p2(3P)3p,4P-4P0,1/2-3/2,,R11,,4317.139,O II,"O II$\,\lambda4318$",0,0.0
Hg,H I,4341.691,10.1988358,13.0545017,2530400.0,2-5,,,E1,NIST,,4340.470676926913,H I,"H I$\,\lambda4342$",58,0.16357466063348416
[OIII]-4364,[O III],4364.436,2.514,5.354,0.0,2s22p2-2s22p2,1D-1S,2-0,E2,,,4363.21,$[$O III$]$,"$[$O III$]\,\lambda4364$",0,0.0
[ArXIV]-4414,[Ar XIV],4413.539,0.0,2.809,0.0,2s22p-2s22p,2P0-2P0,1/2-3/2,M1,W11,,4412.3,$[$Ar XIV$]$,"$[$Ar XIV$]\,\lambda4414$",0,0.0
OII-4416,O II,4416.139,23.442,26.249,0.0,2s22p2(3P)3s-2s22p2(3P)3p,2P-2D0,3/2-5/2,,R11,,4414.899,O II,"O II$\,\lambda4416$",0,0.0
