key,ion,wave_vac,Ei,Ek,Aki,fik,gigk,configuration,terms,Ji-Jk,type,wave_air,classification,gf,multiplet,line_ratio,multiplet_term,references,note
FeII-1675,Fe II,1676.1439751963799,3.887,0.0,0.0,0.0,,,b4D-u4D*,3/2-3/2,E1,1675.496,permitted,0.0,16,1390,b4D,Sigut+03,
FeII-1676,Fe II,1676.8024213773022,3.89,0.0,0.0,0.0,,,b4D-u4D*,5/2-3/2,E1,1676.155,permitted,0.0,16,1840,b4D,Sigut+03,
FeII-1678,Fe II,1678.8537699681217,3.902,0.0,0.0,0.0,,,b4D-v4F*,7/2-5/2,E1,1678.208,permitted,0.0,16,1320,b4D,Sigut+03,
FeII-1679,Fe II,1680.3466347544527,3.887,0.0,0.0,0.0,,,b4D-u4P*,3/2-3/2,E1,1679.702,permitted,0.0,16,714,b4D,Sigut+03,
FeII-1680,Fe II,1680.9441952424602,3.89,0.0,0.0,0.0,,,b4D-v4P*,5/2-5/2,E1,1680.3,permitted,0.0,16,730,b4D,Sigut+03,
FeII-1681,Fe II,1682.134344186314,3.888,0.0,0.0,0.0,,,b4D-u4P*,1/2-1/2,E1,1681.491,permitted,0.0,16,878,b4D,Sigut+03,
FeII-1682,Fe II,1683.6363144746383,3.902,0.0,0.0,0.0,,,b4D-v4P*,7/2-5/2,E1,1682.994,permitted,0.0,16,2730,b4D,Sigut+03,
FeII-1683,Fe II,1684.3508412497615,3.89,0.0,0.0,0.0,,,b4D-v4F*,5/2-7/2,E1,1683.709,permitted,0.0,16,1020,b4D,Sigut+03,
FeII-1687,Fe II,1688.3773604503185,3.89,0.0,0.0,0.0,,,b4D-u4D*,5/2-5/2,E1,1687.738,permitted,0.0,16,1260,b4D,Sigut+03,
FeII-1690,Fe II,1691.0928507008548,3.902,0.0,0.0,0.0,,,b4D-u4D*,7/2-5/2,E1,1690.455,permitted,0.0,16,1230,b4D,Sigut+03,
FeII-1697,Fe II,1698.0045168251906,3.902,0.0,0.0,0.0,,,b4D-u4D*,7/2-7/2,E1,1697.37,permitted,0.0,16,506,b4D,Sigut+03,
FeII-1697,Fe II,1698.3303758157688,3.902,0.0,0.0,0.0,,,b4D-v4F*,7/2-9/2,E1,1697.696,permitted,0.0,16,657,b4D,Sigut+03,
FeII-1720,Fe II,1720.9012669060287,6.726,0.0,0.0,0.0,,,b4G-q4G*,9/2-9/2,E1,1720.274,permitted,0.0,18,570,b4G,Sigut+03,
FeII-1721,Fe II,1722.3639507620305,3.196,0.0,0.0,0.0,,,b2P-v2D*,3/2-5/2,E1,1721.737,permitted,0.0,15,503,b2P,Sigut+03,
FeII-1723,Fe II,1724.310551595231,6.727,0.0,0.0,0.0,,,b4G-n4F*,5/2-3/2,E1,1723.684,permitted,0.0,18,1200,b4G,Sigut+03,
FeII-1725,Fe II,1726.0142216400282,6.726,0.0,0.0,0.0,,,b4G-n4F*,9/2-7/2,E1,1725.388,permitted,0.0,18,1600,b4G,Sigut+03,
FeII-1735,Fe II,1736.3055744073997,6.721,0.0,0.0,0.0,,,b4G-n4F*,11/2-9/2,E1,1735.681,permitted,0.0,18,1230,b4G,Sigut+03,
FeII-1739,Fe II,1740.1650925800836,6.22,0.0,0.0,0.0,,,c4F-u4G*,7/2-9/2,E1,1739.541,permitted,0.0,21,504,c4F,Sigut+03,
FeII-1779,Fe II,1780.1211774083263,6.726,0.0,0.0,0.0,,,b4G-m4D*,9/2-7/2,E1,1779.499,permitted,0.0,18,503,b4G,Sigut+03,
FeII-1784,Fe II,1785.5132379852353,6.727,0.0,0.0,0.0,,,b4G-n4F*,7/2-5/2,E1,1784.891,permitted,0.0,18,1520,b4G,Sigut+03,
FeII-1785,Fe II,1785.8942444622926,2.89,0.0,0.0,0.0,,,a6S-X6P*,5/2-7/2,E1,1785.272,permitted,0.0,11,2000,a6S,Sigut+03,
FeII-1785,Fe II,1786.107248205875,6.727,0.0,0.0,0.0,,,b4G-*4F*,7/2-5/2,E1,1785.485,permitted,0.0,18,1250,b4G,Sigut+03,
FeII-1786,Fe II,1787.37527229366,2.89,0.0,0.0,0.0,,,a6S-X6P*,5/2-5/2,E1,1786.753,permitted,0.0,11,1450,a6S,Sigut+03,
FeII-1787,Fe II,1788.437294812683,6.721,0.0,0.0,0.0,,,b4G-*4F*,11/2-9/2,E1,1787.815,permitted,0.0,18,1140,b4G,Sigut+03,
FeII-1787,Fe II,1788.619298883729,2.89,0.0,0.0,0.0,,,a6S-X6P*,5/2-3/2,E1,1787.997,permitted,0.0,11,1230,a6S,Sigut+03,
FeII-1789,Fe II,1790.4663436517112,6.726,0.0,0.0,0.0,,,b4G-*4F*,9/2-7/2,E1,1789.844,permitted,0.0,18,1400,b4G,Sigut+03,
FeII-1793,Fe II,1794.617466530078,6.727,0.0,0.0,0.0,,,b4G-s4G*,5/2-5/2,E1,1793.995,permitted,0.0,18,612,b4G,Sigut+03,
FeII-1795,Fe II,1796.2225220055125,6.721,0.0,0.0,0.0,,,b4G-w2I*,11/2-13/2,E1,1795.6,permitted,0.0,18,643,b4G,Sigut+03,
FeII-1799,Fe II,1799.9386667423614,6.726,0.0,0.0,0.0,,,b4G-s4G*,9/2-9/2,E1,1799.316,permitted,0.0,18,1060,b4G,Sigut+03,
FeII-1799,Fe II,1800.4076865842355,6.721,0.0,0.0,0.0,,,b4G-s4G*,11/2-11/2,E1,1799.785,permitted,0.0,18,862,b4G,Sigut+03,
FeII-1805,Fe II,1806.1559571558673,6.726,0.0,0.0,0.0,,,b4G-q4G*,9/2-7/2,E1,1805.533,permitted,0.0,18,561,b4G,Sigut+03,
FeII-1805,Fe II,1806.3419667332334,3.89,0.0,0.0,0.0,,,b4D-v4D*,5/2-5/2,E1,1805.719,permitted,0.0,16,602,b4D,Sigut+03,
FeII-1805,Fe II,1806.4669731978058,6.727,0.0,0.0,0.0,,,b4G-q4G*,7/2-7/2,E1,1805.844,permitted,0.0,18,4190,b4G,Sigut+03,
FeII-1809,Fe II,1809.7801526581418,6.727,0.0,0.0,0.0,,,b4G-n4D*,5/2-7/2,E1,1809.157,permitted,0.0,18,805,b4G,Sigut+03,
